Response ID,What year were you born?,Gender,job industry, job industry (Detailed),occupation,Occupation (Detailed),Number of employers,Manager,Household,Job tenure,Metro / Regional,"Thinking about your current job, how much of your time did you spend remote working last year?",My organisation encouraged people to work remotely,My organisation was well prepared for me to work remotely,It was common for people in my organisation to work remotely,It was easy to get permission to work remotely,I could easily collaborate with colleagues when working remotely,I would recommend remote working to others,Time prefered to work remotely,"In last 3 months, time spent on remote working","In last 3 months,  My organisation encouraged people to work remotely","In last 3 months,  My organisation was well prepared for me to work remotely","In last 3 months, It was common for people in my organisation to work remotely","In last 3 months, It was easy to get permission to work remotely","in last 3 months, collaboration with colleagues when working remotely","In last 3 months, I would recommend remote working to others","In the last 3 months, preferred time to work remotely ",Time prefer to work remotely after COVID is cured,Encourage more remote working after COVID is cured,Make changes to support remote working after COVID is cured,Prefer to work remotely after COVID is cured,Productivity,Time for preparing  and commuting on employer's workplace,Working hours on employer's workplace,Time for personal and family while on employer's workplace,Time for Caring and domestic responsibilities while on employer's workplace,Time for preparing for work and commuting while on remote work,how many hours do you work remotely,Time for personal and family while on remote work,Time for Caring and domestic responsibilities while on remote work,The most significant barrier to doing your work remotely,Compare remote working to working at your employer痴 workplace
47,1961,Female,Health Care and Social Assistance,Medical and Other Health Care Services,Professionals,Health Professionals,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,20%,100% - I spent all of my time remote working,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,80%,80%,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,I知 10% less productive when working remotely,0.5,6,6,2,0.5,8,4,2,Connectivity (internet connection),Preparing for work and commuting
48,1964,Male,Financial and Insurance Services,Auxiliary Finance and Insurance Services,Managers,Specialist Managers,Between 20 and 199,Yes,Single person,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,80%,100% - I spent all of my time remote working,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly disagree,Strongly disagree,Strongly disagree,I知 30% more productive when working remotely,1.5,8,2.5,0.5,0,9.5,2.5,0.5,"IT equipment (computer, printer, etc.)",My work-life balance
49,1978,Female,Retail Trade,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,40%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,40%,40%,Strongly agree,Strongly agree,Strongly agree,I知 10% more productive when working remotely,2.5,8.5,3,2,0.5,9,4,2,Difficulty collaborating remotely,My work-life balance
50,1979,Male,Information Media and Telecommunications,Telecommunications Services,Managers,Specialist Managers,More than 200,Yes,Multiple family household,Between 6 and 12 months,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,40%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,70%,80%,Strongly agree,Strongly agree,Strongly agree,I知 30% less productive when working remotely,3,7.5,2,0,0,10,4,2,Feeling left out and/or isolated,My work-life balance
51,1974,Male,Manufacturing,Furniture and Other Manufacturing,Clerical and administrative ,Clerical and Office Support ,More than 200,No,Couple with dependent children,More than 5 years,Metro,30%,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,60%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,80%,70%,Somewhat agree,Somewhat agree,Somewhat agree,I知 10% less productive when working remotely,2,8,11,3,0,12,7,3,Poor management,Managing my family responsibilities
52,1969,Male,Arts and Recreation Services,Creative and Performing Arts Activities,Professionals,Arts and Media Professionals,I am the only employee,No,Single person,More than 5 years,Regional,30%,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,30%,80%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,70%,60%,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,0.1,6,6,3,0,7,6,3,Difficulty collaborating remotely,The number of hours  I work
53,1995,Female,Retail Trade,Other Store-Based Retailing,Sales ,Sales Representatives and Agents,Between 5 and 19,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,40%,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I知 40% more productive when working remotely,2,8,1,0,0.5,10,2,1,Difficulty collaborating remotely,My work-life balance
54,1960,Female,Retail Trade,Other Store-Based Retailing,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,50% - I spent about half of my time remote working,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Strongly disagree,Strongly disagree,Strongly agree,My productivity is about same when I work remotely,0.5,3,17.5,3,0,2,18,4,Feeling left out and/or isolated,Preparing for work and commuting
55,1985,Male,"Transport, Postal and Warehousing",Air and Space Transport,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Single person,More than 5 years,Metro,10%,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,40%,20%,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,80%,60%,Somewhat agree,Somewhat agree,Neither agree nor disagree,I知 50% more productive when working remotely (or more),1.5,10,11,1.5,0,10,10,4,Difficulty collaborating remotely,My work-life balance
56,1962,Male,Other Services,Repair and Maintenance,Technicians and trades ,Electrotechnology and Telecommunications Trades ,More than 200,No,Single person,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,I would not have preferred to work remotely ,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,1.5,8,8,0.5,0.5,8,10,0.5,Feeling left out and/or isolated,Preparing for work and commuting
57,1964,Male,Financial and Insurance Services,Finance,Professionals,ICT Professionals,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,30%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,50% - About half of my time,50% - I spent about half of my time remote working,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,I知 10% less productive when working remotely,1,8,3,2,0,8,3,3,Caring responsibilities,Managing my family responsibilities
58,1965,Male,Health Care and Social Assistance,Medical and Other Health Care Services,Managers,"Hospitality, Retail and Service Managers",More than 200,Yes,Single person,Between 1 and 5 years,Metro,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,20%,10%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I知 20% more productive when working remotely,2,8,4,0,0.3,7.5,6,0,"IT equipment (computer, printer, etc.)",Preparing for work and commuting
59,1988,Male,Accommodation and Food Services,Accommodation,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,Less than 10% of my time,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,50% - About half of my time,40%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,50% - About half of my time,50% - About half of my time,Strongly agree,Strongly agree,Somewhat agree,I知 10% more productive when working remotely,1.5,6,5,2,0.5,6,7,3,Feeling left out and/or isolated,My work-life balance
60,1959,Male,Financial and Insurance Services,Finance,Professionals,"Legal, Social and Welfare Professionals",Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Regional,70%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Neither agree nor disagree,Strongly agree,I知 40% more productive when working remotely,1,8,4,5,0,9,4,5,Feeling left out and/or isolated,My work-life balance
61,1966,Female,Arts and Recreation Services,Creative and Performing Arts Activities,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,50% - About half of my time,90%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,90%,90%,Strongly agree,Somewhat agree,Somewhat agree,I知 50% more productive when working remotely (or more),3,9,2,1,0.5,10,3,2,Difficulty collaborating remotely,My work-life balance
62,1960,Male,Financial and Insurance Services,Insurance and Superannuation Funds,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,I would not have preferred to work remotely ,80%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,50% - About half of my time,30%,Somewhat agree,Strongly agree,Strongly agree,I知 30% less productive when working remotely,1,9,2,1,0,10,2,1,Feeling left out and/or isolated,My work-life balance
63,1979,Female,Information Media and Telecommunications,Internet Publishing and Broadcasting,Managers,Specialist Managers,Between 5 and 19,Yes,Multiple family household,Between 1 and 5 years,Metro,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,10%,80%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,40%,50% - About half of my time,Neither agree nor disagree,Strongly agree,Strongly agree,I知 20% more productive when working remotely,2.5,9,3,2,1,9,3,2,Difficulty collaborating remotely,Preparing for work and commuting
64,1966,Female,Other Services,Personal and Other Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,No,Single person,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,20%,Less than 10% of my time,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Less than 10% of my time,20%,Strongly agree,Strongly disagree,Neither agree nor disagree,My productivity is about same when I work remotely,1,3,18,2,1,6,15,2,Poor management,My work-life balance
65,1956,Male,Education and Training,Tertiary Education,Professionals,Education Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,30%,80%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,80%,30%,Neither agree nor disagree,Somewhat disagree,Somewhat agree,I知 20% more productive when working remotely,3,9,2,1,1,10,2,1.5,Difficulty collaborating remotely,Preparing for work and commuting
66,1962,Female,Health Care and Social Assistance,Social Assistance Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,I would not have preferred to work remotely ,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,100% - All of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,3,7.5,3.5,2,0.5,8.5,3.5,2.5,Feeling left out and/or isolated,My work-life balance
67,1957,Male,Public Administration and Safety,Defence,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,70%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,80%,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,70%,70%,Somewhat agree,Somewhat agree,Somewhat agree,I知 20% more productive when working remotely,2,8,10,4,0,8,10,6,Feeling left out and/or isolated,My work-life balance
68,1986,Male,Health Care and Social Assistance,Medical and Other Health Care Services,Clerical and administrative ,Office Managers and Program Administrators,More than 200,Yes,Single person,More than 5 years,Metro,60%,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,50% - About half of my time,70%,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,60%,50% - About half of my time,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,I知 40% less productive when working remotely,1,9,4,2,0.5,6,6,4,Feeling left out and/or isolated,Preparing for work and commuting
